Food code,Main food description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),Cholesterol (mg),"Vitamin A, RAE (mcg_RAE)",Vitamin B-6 (mg),Vitamin C (mg),Calcium (mg),"Iron
(mg)",Potassium (mg),Sodium (mg),Caffeine (mg),Alcohol (g),"Water
(g)"
75311122,"Classic mixed vegetables, canned, reduced sodium, cooked with butter or margarine",64,1.91,8.94,"2.85","2.3",2.81,4,"187",0.1,4.3,24,"0.79",128,33,0,0,"85.44"
75315010,"Peas and corn, cooked, no added fat",79,3.84,16.73,"3.72","3.4",0.47,0,"57",0.106,6.7,14,"0.99",171,152,0,0,"78.04"
75315020,"Peas and corn, cooked, fat added",100,3.74,16.25,"3.62","3.3",3,2,"67",0.119,6.5,13,"0.97",166,156,0,0,"76.1"
75316050,Ratatouille,66,1.1,5.72,"3.39","1.9",4.74,0,"20",0.128,17.7,21,"0.45",219,152,0,0,"87.49"
75317010,"Vegetables, stew type, cooked, fat added",95,1.45,14.88,"3.04","1.9",3.61,3,"257",0.224,8.8,19,"0.31",321,174,0,0,"78.85"
75317020,"Vegetables, stew type, cooked, no added fat",67,1.49,15.51,"3.14","2",0.15,0,"248",0.211,9.2,19,"0.32",333,162,0,0,"81.62"
75330050,"Broccoli and cauliflower, cooked, no added fat",23,2.35,4.54,"1.26","2.8",0.17,0,"25",0.109,35.6,25,"0.51",140,130,0,0,"92.08"
75330060,"Broccoli and cauliflower, cooked, fat added",46,2.29,4.41,"1.23","2.8",2.71,2,"36",0.122,34.6,25,"0.5",136,135,0,0,"89.74"
75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",28,1.76,5.59,"2.19","3",0.34,0,"298",0.1,24.5,28,"0.52",157,146,0,0,"91.4"
75330090,"Broccoli, cauliflower and carrots, cooked, fat added",50,1.72,5.43,"2.13","2.9",2.9,2,"301",0.114,23.8,28,"0.5",153,151,0,0,"89.05"
75340010,"Asian stir fry vegetables, cooked, no added fat",48,2.08,9.74,"3.63","2.9",0.28,0,"226",0.179,34.6,37,"1.09",262,137,0,0,"86.92"
75340020,"Asian stir fry vegetables, cooked, fat added",69,2.03,9.46,"3.53","2.8",2.82,2,"231",0.19,33.6,37,"1.06",255,141,0,0,"84.72"
75340200,"Jai, Monk's Food",60,4.25,7.72,"1.15","1.3",1.86,0,"0",0.111,5.8,54,"0.82",193,28,0,0,"85.45"
75365000,"Vegetable mixture, dried",309,17.37,47.79,"19.81","18.7",8.82,0,"988",0.92,177.8,234,"6.06",1607,360,0,0,"20.23"
75400500,"Artichokes, stuffed",160,5.34,22.25,"2.13","3.9",5.94,3,"14",0.076,5.3,84,"1.45",218,403,0,0,"64.78"
75403020,Green bean casserole,50,1.88,6.8,"2.55","1.8",2.18,1,"26",0.081,5.8,40,"0.64",159,320,0,0,"87.85"
75403200,"Green beans, cooked, Szechuan-style",98,2.42,7.98,"3.06","2.8",6.91,0,"34",0.174,10.3,45,"1.17",240,231,0,0,"81.2"
75409020,Fried cauliflower,218,4.02,21.9,"1.08","1.6",12.86,11,"5",0.086,16.1,33,"1.67",159,326,0,0,"59.86"
75410500,"Chiles rellenos, cheese-filled",228,8.11,10.24,"1.6","1.1",17.39,30,"71",0.123,32.2,212,"0.84",124,448,0,0,"62.19"
75410530,"Chiles rellenos, filled with meat and cheese",230,9.27,9.59,"1.5","1",17.34,34,"67",0.142,30.2,200,"0.95",136,424,0,0,"61.82"
75410550,Stuffed jalapeno pepper,240,8.93,16.42,"3.73","2.5",15.78,141,"131",0.25,50.7,122,"1.94",231,440,0,0,"56.78"
75411010,"Corn, scalloped or pudding",116,4.54,14.98,"4.63","1.5",5.12,70,"76",0.082,1.7,44,"0.57",211,310,0,0,"74.01"
75411020,"Fritter, corn",404,7.37,33.55,"3.03","1.6",27.14,67,"79",0.077,1.1,64,"2.25",198,339,0,0,"30.38"
75412010,Fried eggplant,218,3.66,22.33,"1.77","2",12.82,11,"5",0.052,0.8,28,"1.6",135,315,0,0,"59.86"
75412030,Eggplant dip,162,4.26,9.56,"2.81","4.1",13.25,0,"7",0.106,7.1,97,"2.08",265,219,0,0,"70.9"
75412060,"Eggplant parmesan casserole, regular",155,7.02,8.96,"3.01","1.9",10.5,24,"53",0.087,2.6,180,"0.72",225,351,0,0,"71.56"
75412070,Eggplant with cheese and tomato sauce,90,6.16,6.34,"3.39","2.2",4.84,15,"50",0.09,3,164,"0.45",246,325,0,0,"80.79"
75414020,"Mushrooms, stuffed",288,10.7,27.72,"4","2.3",15,14,"112",0.128,4.4,147,"1.83",434,638,0,0,"43.61"
75414030,Fried mushrooms,222,4.63,21.9,"1.27","1.3",12.91,11,"5",0.056,0.8,27,"1.62",217,317,0,0,"59.11"
75414500,Fried okra,219,3.88,22.37,"1.42","1.6",12.84,11,"10",0.035,3.6,52,"1.71",111,316,0,0,"59.63"
75415022,Fried onion rings,352,4.19,39.94,"4.96","2.6",19.82,0,"0",0.13,1.5,72,"0.96",151,575,0,0,"33.96"
75416500,Pea salad,179,3.01,10.56,"4.9","2.7",14.03,8,"72",0.088,12.6,27,"0.89",118,251,0,0,"71.23"
75416600,Pea salad with cheese,202,5.03,9.75,"4.44","2.5",16.02,17,"97",0.086,11.4,94,"0.82",114,291,0,0,"67.78"
75418010,"Fried summer squash, yellow or green",216,3.76,21.5,"1.53","1.2",12.88,11,"8",0.075,7,33,"1.69",149,317,0,0,"60.56"
75418020,"Squash, summer, casserole with tomato and cheese",85,3.46,8.91,"3.36","1.4",4.21,11,"45",0.125,13.8,99,"0.84",267,224,0,0,"82.04"
75418030,"Squash, summer, casserole, with rice and tomato sauce",83,2.32,14.9,"2.4","1.1",1.66,3,"18",0.118,10.4,26,"0.97",203,120,0,0,"80.21"
75418040,"Squash, summer, casserole, with cheese sauce",92,3.69,9.28,"2.84","1.2",4.71,11,"36",0.121,13.9,82,"0.77",249,172,0,0,"81.14"
75418060,"Squash, summer, souffle",125,4.65,6.87,"3.16","0.7",8.94,101,"114",0.092,6.6,63,"0.79",218,232,0,0,"78.31"
75439010,Vegetable stew without meat,56,2.68,9.62,"1.96","1.8",0.98,1,"79",0.123,8.9,16,"0.7",221,252,0,0,"85.58"
75439500,"Chow mein or chop suey, meatless, no noodles",43,1.34,5.74,"2.63","1.2",1.68,0,"13",0.086,7.2,25,"0.42",136,344,0,0,"90.08"
75440200,Vegetable tempura,238,3.81,20.42,"1.55","1.6",15.81,38,"60",0.105,15,22,"1.57",175,13,0,0,"59.4"
75440400,Pakora,125,4.92,16.24,"2.97","3.2",4.77,0,"3",0.152,3.5,19,"1.12",214,380,0,0,"72.28"
75440600,Vegetable curry,84,1.59,8.72,"3.23","1.8",5.23,0,"65",0.136,11.7,21,"0.71",286,387,0,0,"82.77"
75440610,Vegetable curry with rice,102,2.02,16.43,"1.96","1.3",3.25,0,"39",0.118,7,17,"0.9",186,330,0,0,"76.87"
75460900,"Chow mein or chop suey, meatless, with noodles",117,2.98,15.72,"2.18","2.1",5.05,0,"11",0.079,6,21,"1.46",130,434,0,0,"74.82"
75500110,"Green beans, pickled",46,1.52,10.64,"7.57","2.2",0.2,0,"28",0.105,8.6,32,"0.86",175,949,0,0,"84.41"
75500210,"Beets, pickled",65,0.8,16.28,"11.05","0.8",0.08,0,"2",0.05,2.3,11,"0.41",115,149,0,0,"81.88"
75500510,"Celery, pickled",32,0.57,7.32,"5.98","1.3",0.16,0,"17",0.055,2.2,35,"0.17",216,1011,0,0,"88.64"
75501010,"Relish, corn",111,1.7,25.66,"18.43","1.6",0.92,0,"9",0.046,8,4,"0.24",114,336,0,0,"70.4"
75502010,"Cauliflower, pickled",41,1.59,8.98,"6.45","1.7",0.25,0,"0",0.137,34,20,"0.35",248,969,0,0,"85.86"
75502500,"Cabbage, fresh, pickled, Japanese style",41,1.06,9.67,"7.52","2.1",0.1,0,"4",0.093,25.8,35,"0.39",141,959,0,0,"85.95"
75502510,"Cabbage, red, pickled",46,1.19,10.97,"8.05","1.7",0.15,0,"44",0.156,40.2,39,"0.67",202,967,0,0,"84.46"
75502520,Kimchi,15,1.1,2.4,"1.06","1.6",0.5,0,"5",0.213,0,33,"2.5",151,498,0,0,"94.3"
75503010,"Pickles, dill",14,0.48,1.99,"1.28","1",0.43,0,"4",0.034,2.1,54,"0.23",112,808,0,0,"94.7"
75503020,"Relish, pickle",130,0.37,35.06,"29.13","1.1",0.47,0,"61",0.015,1,3,"0.87",25,811,0,0,"62.07"
75503040,"Pickles, sweet",91,0.58,21.15,"18.27","1",0.41,0,"38",0.024,0.7,61,"0.25",100,457,0,0,"76.2"
75503080,"Eggplant, pickled",41,0.81,9.74,"7.8","2.5",0.16,0,"1",0.063,1.6,9,"0.2",190,946,0,0,"86.05"
75503085,"Ginger root, pickled",20,0.33,4.83,"0","2.6",0.1,0,"0",0.037,0,74,"0.28",36,906,0,0,"92.3"
75503090,Horseradish,48,1.18,11.29,"7.99","3.3",0.69,0,"0",0.073,24.9,56,"0.42",246,420,0,0,"85.08"
75505000,"Mushrooms, pickled",46,2.4,8.29,"6.51","0.8",0.3,0,"0",0.061,1.5,6,"0.19",308,949,0,0,"85.63"
75506010,Mustard,69,4.25,5.3,"1.42","4.3",3.38,0,"4",0.069,0.4,63,"1.59",150,1100,0,0,"83.7"
75506100,Honey mustard dip,275,1.77,25.16,"24.1","1",18.01,51,"19",0.033,0.1,24,"0.61",64,509,0,0,"51.87"
75507000,"Okra, pickled",48,1.6,11.04,"6.1","2.7",0.17,0,"28",0.16,16.2,70,"0.52",248,950,0,0,"83.79"
75510000,"Olives, NFS",116,0.84,6.04,"0","1.6",10.9,0,"17",0.009,0.9,88,"6.28",8,735,0,0,"79.99"
75510010,"Olives, green",145,1.03,3.84,"0.54","3.3",15.32,0,"20",0.031,0,52,"0.49",42,1556,0,0,"75.28"
75510020,"Olives, black",116,0.84,6.04,"0","1.6",10.9,0,"17",0.009,0.9,88,"6.28",8,735,0,0,"79.99"
75510030,"Olives, stuffed",141,1.15,4.96,"0","4",12.9,0,"25",0,0,121,"0.31",43,1620,0,0,"76.7"
75510050,Olive tapenade,282,0.73,4.17,"0.16","1.8",30.05,0,"14",0.014,0.4,60,"3.4",17,835,0,0,"62.58"
75511010,Hot pepper sauce,12,1.29,0.8,"0.13","0.6",0.76,0,"82",0.154,4.5,12,"1.16",128,633,0,0,"95.17"
75511020,"Peppers, pickled",39,0.75,9.11,"7.38","1.5",0.19,0,"53",0.184,68.3,9,"0.31",156,947,0,0,"86.88"
75511040,"Pepper, hot, pickled",22,0.8,4.56,"1.6","2.6",0.4,0,"43",0.105,12.3,61,"0.32",113,1430,0,0,"90.2"
75511050,"Jalapenos, NFS",26,0.86,5.53,"2.86","2.7",0.38,0,"48",0.262,65.4,36,"0.28",180,716,0,0,"90.94"
75511100,"Pickles, NFS",14,0.48,1.99,"1.28","1",0.43,0,"4",0.034,2.1,54,"0.23",112,808,0,0,"94.7"
75511300,"Pickles, fried",213,3.44,20.7,"0.82","1.2",12.91,11,"6",0.034,0.8,45,"1.58",84,620,0,0,"60.98"
75512010,"Radishes, pickled, Hawaiian style",34,0.56,7.68,"6.41","1.3",0.1,0,"0",0.053,10.4,22,"0.29",194,977,0,0,"88.51"
75513010,"Seaweed, pickled",54,2.91,11.44,"5.35","0.6",0.42,0,"75",0.043,8.7,109,"1.89",137,1263,0,0,"77.67"
75515100,"Vegetables, pickled",43,0.99,9.85,"7.48","1.8",0.23,0,"194",0.138,37.8,21,"0.3",225,978,0,0,"85.65"
75534030,"Turnip, pickled",44,0.75,10.19,"8.02","1.5",0.1,0,"0",0.067,14.8,27,"0.25",159,1000,0,0,"85.69"
75534550,Wasabi paste,292,2.23,46.13,"13.2","6.1",10.9,0,"0",0.05,0,41,"0.5",182,3390,0,0,"31.7"
75535000,"Zucchini, pickled",35,1,7.44,"6.94","0.8",0.28,0,"8",0.122,12.6,15,"0.31",217,951,0,0,"88.11"
75601000,"Asparagus soup, cream of, NS as to made with milk or water",61,2.57,6.68,"2.79","0.2",2.7,6,"42",0.035,1.1,74,"0.32",147,355,0,0,"86.48"
75601010,"Asparagus soup, cream of, prepared with milk",61,2.57,6.68,"2.79","0.2",2.7,6,"42",0.032,1.1,74,"0.32",147,355,0,0,"86.48"
75601100,Borscht,38,1.19,4.67,"2.88","1",1.81,5,"59",0.061,5.2,23,"0.33",122,142,0,0,"91.47"
75601200,"Cabbage soup, home recipe, canned or ready-to-serve",37,1.78,6.2,"1.54","1.3",0.85,0,"36",0.085,6.9,14,"0.48",180,234,0,0,"90.13"
75601210,"Cabbage with meat soup, home recipe, canned or ready-to-serve",46,4.79,3.93,"1.09","0.8",1.32,9,"32",0.148,4.9,13,"0.51",186,261,0,0,"88.87"
75601250,Kimchi soup,59,3.21,0.8,"0.38","0.4",4.92,7,"2",0.097,0,31,"0.89",77,356,0,0,"89.88"
75603020,"Celery soup, cream of, prepared with water, home recipe, canned or ready-to-serve",37,0.67,3.57,"0.68","0.3",2.26,6,"11",0.005,0.1,18,"0.25",50,264,0,0,"92.32"
75604600,Gazpacho,39,0.83,4.11,"2.49","1.1",2.38,0,"43",0.094,19.4,14,"0.38",208,256,0,0,"91.34"
75607010,"Mushroom soup, cream of, prepared with milk",66,2.34,5.81,"2.65","0.3",3.72,4,"30",0.035,0,69,"0.09",110,364,0,0,"86.82"
75607020,"Mushroom soup, cream of, prepared with water",40,0.68,3.44,"0.2","0.4",2.68,0,"1",0.008,0,8,"0.09",32,351,0,0,"92.21"
75607040,"Mushroom soup, with meat broth, prepared with water",34,1.27,3.76,"1.16","0.1",1.63,3,"9",0.015,0.4,6,"0.34",64,394,0,0,"92.14"
75607060,"Mushroom soup, cream of, NS as to made with milk or water",66,2.34,5.81,"2.65","0.3",3.72,4,"30",0.038,0,69,"0.09",110,364,0,0,"86.82"
75607140,"Mushroom soup, cream of, canned, reduced sodium, prepared with water",26,0.61,4.11,"1.08","0.3",0.86,2,"1",0.02,0,8,"0.24",190,196,0,0,"93.49"
75608100,"Onion soup, French",154,7.16,16.24,"2.58","1",6.78,15,"41",0.087,1.5,136,"1.2",155,428,0,0,"68.1"
75609010,"Pea soup, prepared with milk",89,4.97,12.68,"5.72","2",2.19,4,"32",0.047,0.7,72,"0.76",150,367,0,0,"78.5"
75611010,"Vegetable soup, cream of, prepared with milk",87,3.74,9,"6","0.3",4.08,8,"105",0.051,1.5,126,"0.23",178,375,0,0,"81.33"
75647000,Seaweed soup,35,3.71,2.4,"0.26","0.2",1.37,6,"6",0.038,1.2,42,"0.85",101,527,0,0,"89.97"
75649010,"Vegetable soup, canned, prepared with water or ready-to-serve",39,1.14,7.9,"1.56","1.1",0.36,0,"52",0.065,0.7,18,"0.51",180,267,0,0,"89.53"
75649040,"Vegetable soup, reduced sodium, canned, ready to serve",50,1.16,10.28,"2.78","1.1",0.51,1,"58",0.07,0.7,25,"0.4",349,138,0,0,"86.91"
75649050,"Vegetable soup, made from dry mix",40,0.72,4.72,"1.59","0.3",2.18,0,"54",0.009,1.5,15,"0.24",37,353,0,0,"91.11"
75649110,"Vegetable soup, home recipe",38,1.78,6.18,"1.49","1.2",0.87,0,"37",0.083,6.3,14,"0.48",180,239,0,0,"90.12"
75649150,"Vegetable noodle soup, home recipe",47,2.17,7.28,"1.18","1",1.16,4,"36",0.068,4.5,14,"0.56",152,283,0,0,"88.29"
75650990,"Minestrone soup, reduced sodium, canned or ready-to-serve",50,2,9,"2.13","2.4",0.8,0,"33",0.06,5.7,20,"0.72",186,215,0,0,"87.3"
75651000,"Minestrone soup, home recipe",61,3.48,9.66,"1.08","1.8",1.12,3,"33",0.057,3,27,"1.08",204,260,0,0,"84.52"
75651010,"Minestrone soup, canned, prepared with water, or ready-to-serve",34,1.74,4.6,"0.75","0.4",1.03,1,"43",0.04,0.5,16,"0.38",128,261,0,0,"91.4"
75651020,"Vegetable beef soup, canned, prepared with water, or ready-to-serve",32,2.26,4.11,"0.45","0.8",0.77,2,"79",0.03,1,8,"0.45",70,360,0,0,"91.68"
75651040,"Vegetable noodle soup, canned, prepared with water, or ready-to-serve",30,0.86,4.9,"1.57","0.3",0.79,0,"71",0.023,0.6,10,"0.44",86,261,0,0,"92.38"
75651070,"Vegetable rice soup, canned, prepared with water or ready-to-serve",53,2.13,8.64,"2.17","2.4",1.17,2,"89",0.1,2,25,"0.74",255,288,0,0,"86.72"
75652010,"Vegetable beef soup, home recipe",55,5.84,3.87,"1.02","0.8",1.83,13,"33",0.095,4.2,14,"0.73",166,269,0,0,"87.46"
75652040,"Vegetable beef soup with noodles or pasta, home recipe",67,6.43,5.65,"1.06","0.8",2.06,17,"35",0.085,3.2,14,"0.86",150,276,0,0,"84.88"
75652050,"Vegetable beef soup with rice, home recipe",67,6.15,6.26,"0.99","0.7",1.9,14,"34",0.084,3.2,14,"0.87",144,275,0,0,"84.73"
75656060,"Vegetable beef soup, chunky style",66,3.97,10.08,"0.67","0.6",1.11,6,"54",0.055,2.9,13,"0.97",140,338,0,0,"83.34"
75657000,"Vegetable broth, bouillon",5,0.24,0.93,"0.55","0",0.07,0,"12",0.007,0.4,3,"0.06",19,296,0,0,"98.05"
76000000,"Baby Toddler vegetable, NFS",44,1.44,9.56,"2.92","1.6",0.25,0,"234",0.065,5.8,24,"0.48",183,32,0,0,"88.1"
76201010,"Baby Toddler carrots, Stage 1",26,0.8,6,"3.64","1.7",0.1,0,"573",0.073,5.7,22,"0.37",196,69,0,0,"92.3"
76201040,"Baby Toddler carrots, Stage 2",32,0.8,7.2,"3.16","1.7",0.2,0,"591",0.08,5.5,23,"0.39",202,49,0,0,"91"
76205010,"Baby Toddler squash, Stage 1",28,0.81,5.73,"3.37","0.9",0.2,0,"85",0.07,0.3,24,"0.32",185,5,0,0,"92.66"
76205040,"Baby Toddler squash, Stage 2",24,0.81,5.73,"3.24","0.9",0.2,0,"85",0.07,0.3,24,"0.32",185,5,0,0,"92.66"
76209010,"Baby Toddler sweet potatoes, Stage 1",57,1.1,13.2,"4.05","1.5",0.1,0,"322",0.093,9.9,16,"0.37",263,22,0,0,"84.8"
76209040,"Baby Toddler sweet potatoes, Stage 2",60,1.1,14,"4.24","1.5",0.1,0,"332",0.113,9.6,16,"0.39",243,18,0,0,"84.1"
76401010,"Baby Toddler green beans, Stage 1",24,1.2,5.8,"1.08","1.9",0.1,0,"24",0.035,8.4,65,"1.08",128,5,0,0,"92.5"
76401040,"Baby Toddler green beans, Stage 2",24,1.2,5.8,"1.08","1.9",0.1,0,"24",0.035,8.4,65,"1.08",128,5,0,0,"92.5"
76403010,Baby Toddler beets,34,1.3,7.7,"6.09","1.9",0.1,0,"1",0.024,2.4,14,"0.32",182,83,0,0,"90.1"
76407010,"Baby Toddler multiple vegetables, Stage 2",44,1.44,9.56,"2.92","1.6",0.25,0,"234",0.065,5.8,24,"0.48",183,32,0,0,"88.1"
76407020,"Baby Toddler multiple vegetables, Stage 3",44,1.44,9.56,"2.92","1.6",0.25,0,"234",0.065,5.8,24,"0.48",183,32,0,0,"88.1"
76407050,"Baby Toddler vegetables, with grain",58,1.84,12.01,"3.1","1.9",0.5,0,"225",0.077,6.2,33,"0.89",191,31,0,0,"84.95"
76407080,Baby Toddler vegetables and meat,64,2.95,11.18,"2.81","1.8",1.08,6,"202",0.084,5.8,34,"0.95",188,32,0,0,"84.08"
76409010,"Baby Toddler peas, Stage 1",50,3.27,8.36,"2.01","2",0.43,0,"11",0.016,0.6,18,"0.95",106,5,0,0,"87.52"
76409040,"Baby Toddler peas, Stage 2",50,3.27,8.36,"2.01","2",0.43,0,"11",0.016,0.6,18,"0.95",106,5,0,0,"87.52"
76700000,"Toddler meal, NFS",85,3.65,12.84,"1.37","1",2.08,8,"87",0.068,3,45,"0.69",99,167,0,0,"80.57"
76702100,"Toddler meal, meat and vegetables",77,3.49,8.33,"1.67","1",3.34,11,"113",0.078,6.3,21,"0.51",151,157,0,0,"83.98"
76702200,"Toddler meal, rice and vegetables",83,4.02,13.43,"1.47","0.9",1.4,11,"117",0.086,3.3,23,"0.82",132,180,0,0,"80.16"
76702300,"Toddler meal, pasta",101,4.08,16.11,"0.73","0.8",2.18,5,"14",0.05,0,78,"0.77",24,198,0,0,"76.81"
76702400,"Toddler meal, pasta and vegetables",78,3.02,13.49,"1.61","1.1",1.41,3,"102",0.056,2.3,57,"0.66",88,132,0,0,"81.32"
77121010,"Fried stuffed potatoes, Puerto Rican style",185,4.91,16.18,"0.9","1.9",11.33,31,"12",0.256,11.7,17,"1.12",370,144,0,0,"66.19"
77201210,"Green plantain with cracklings, Puerto Rican style",358,13.16,26.97,"14.81","1.4",22.82,24,"40",0.204,11,10,"0.69",405,349,0,0,"34.89"
